ID_CLIENTE,SAFRA_REF,PROBABILIDADE_INADIMPLENCIA
5058298901476893676,2021-07-01,0.04
274692171162531764,2021-07-01,0.0
274692171162531764,2021-07-01,0.0
274692171162531764,2021-07-01,0.01
465309249432033993,2021-07-01,0.04
465309249432033993,2021-07-01,0.04
465309249432033993,2021-07-01,0.05
465309249432033993,2021-07-01,0.05
5883155883105348987,2021-07-01,0.06
5883155883105348987,2021-07-01,0.06
4489904752023469353,2021-07-01,0.19
3355881107559250653,2021-07-01,0.03
3355881107559250653,2021-07-01,0.03
3355881107559250653,2021-07-01,0.02
3355881107559250653,2021-07-01,0.04
3355881107559250653,2021-07-01,0.02
3355881107559250653,2021-07-01,0.03
3355881107559250653,2021-07-01,0.03
6330043096034525408,2021-07-01,0.03
6330043096034525408,2021-07-01,0.01
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.01
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.0
6964108750473070287,2021-07-01,0.01
4008627434689715639,2021-07-01,0.13
4008627434689715639,2021-07-01,0.11
4008627434689715639,2021-07-01,0.16
5757271354816214865,2021-07-01,0.21
5757271354816214865,2021-07-01,0.41
5757271354816214865,2021-07-01,0.24
5757271354816214865,2021-07-01,0.19
5757271354816214865,2021-07-01,0.21
5757271354816214865,2021-07-01,0.23
5757271354816214865,2021-07-01,0.2
5757271354816214865,2021-07-01,0.22
5757271354816214865,2021-07-01,0.25
5757271354816214865,2021-07-01,0.21
5757271354816214865,2021-07-01,0.23
5757271354816214865,2021-07-01,0.41
5757271354816214865,2021-07-01,0.21
5757271354816214865,2021-07-01,0.25
5757271354816214865,2021-07-01,0.25
8909740532547211288,2021-07-01,0.0
8909740532547211288,2021-07-01,0.0
8909740532547211288,2021-07-01,0.0
4045739494965095560,2021-07-01,0.01
4045739494965095560,2021-07-01,0.01
4045739494965095560,2021-07-01,0.01
6759864637454708017,2021-07-01,0.0
6759864637454708017,2021-07-01,0.0
6759864637454708017,2021-07-01,0.0
6759864637454708017,2021-07-01,0.01
6759864637454708017,2021-07-01,0.0
6759864637454708017,2021-07-01,0.01
6134696632487351445,2021-07-01,0.01
6134696632487351445,2021-07-01,0.03
6134696632487351445,2021-07-01,0.01
5373371196946859811,2021-07-01,0.0
3095686599956852697,2021-07-01,0.0
3095686599956852697,2021-07-01,0.0
3095686599956852697,2021-07-01,0.0
1616952665234409442,2021-07-01,0.04
1616952665234409442,2021-07-01,0.04
1088521227159442264,2021-07-01,0.01
1088521227159442264,2021-07-01,0.0
1088521227159442264,2021-07-01,0.01
8529899700094903171,2021-07-01,0.03
8529899700094903171,2021-07-01,0.06
8529899700094903171,2021-07-01,0.02
8529899700094903171,2021-07-01,0.02
8529899700094903171,2021-07-01,0.03
8529899700094903171,2021-07-01,0.03
8529899700094903171,2021-07-01,0.03
499242942549937267,2021-07-01,0.08
499242942549937267,2021-07-01,0.08
499242942549937267,2021-07-01,0.08
499242942549937267,2021-07-01,0.08
499242942549937267,2021-07-01,0.09
499242942549937267,2021-07-01,0.08
499242942549937267,2021-07-01,0.08
5897410907783139228,2021-07-01,0.0
5897410907783139228,2021-07-01,0.0
5897410907783139228,2021-07-01,0.0
5897410907783139228,2021-07-01,0.0
2083323809219952960,2021-07-01,0.0
2083323809219952960,2021-07-01,0.01
2083323809219952960,2021-07-01,0.01
2083323809219952960,2021-07-01,0.01
2083323809219952960,2021-07-01,0.0
2083323809219952960,2021-07-01,0.0
2083323809219952960,2021-07-01,0.0
2083323809219952960,2021-07-01,0.01
2083323809219952960,2021-07-01,0.02
2083323809219952960,2021-07-01,0.02
1953058402621337677,2021-07-01,0.02
1953058402621337677,2021-07-01,0.01
1953058402621337677,2021-07-01,0.01
1953058402621337677,2021-07-01,0.31
3408536439470975134,2021-07-01,0.0
3408536439470975134,2021-07-01,0.0
3408536439470975134,2021-07-01,0.0
3408536439470975134,2021-07-01,0.0
5687511145009775604,2021-07-01,0.023333333333333334
5687511145009775604,2021-07-01,0.87
7485107528960607346,2021-07-01,0.01
7485107528960607346,2021-07-01,0.02
531805620371082364,2021-07-01,0.03
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
5761480994209806499,2021-07-01,0.02
4762256864594914240,2021-07-01,0.0
8570963260597299378,2021-07-01,0.01
5974858472822751652,2021-07-01,0.04
3421433989501830226,2021-07-01,0.7
4327694790333781288,2021-07-01,0.01
4327694790333781288,2021-07-01,0.0
8173830874846355280,2021-07-01,0.0
8173830874846355280,2021-07-01,0.0
8173830874846355280,2021-07-01,0.0
8173830874846355280,2021-07-01,0.0
8173830874846355280,2021-07-01,0.0
8173830874846355280,2021-07-01,0.0
8173830874846355280,2021-07-01,0.01
8173830874846355280,2021-07-01,0.0
8173830874846355280,2021-07-01,0.0
8173830874846355280,2021-07-01,0.0
2347028805684088098,2021-07-01,0.06
3632378524835692731,2021-07-01,0.0
3632378524835692731,2021-07-01,0.0
3632378524835692731,2021-07-01,0.0
2033394215069562776,2021-07-01,0.01
2033394215069562776,2021-07-01,0.02
2033394215069562776,2021-07-01,0.02
2033394215069562776,2021-07-01,0.02
3285246914299291124,2021-07-01,0.04
